spelling,lexicality,rt,zscore,accuracy,rt.sd,zscore.sd,accuracy.sd
a/c,N,668.0363636,0.321962039,0.769230769,180.0885547,1.09726646,0.424052096
aband,N,706.5,0.481597477,0.925,170.1721499,0.861493307,0.266746783
abayed,N,689.9354839,0.157765011,0.868421053,281.0501658,1.023943765,0.342569987
abbear,N,560.5833333,-0.361414285,0.95,121.3604725,0.529867329,0.220721428
abbears,N,611.4102564,-0.137276548,0.975,169.8579465,0.898893056,0.158113883
abbens,N,598.2894737,-0.384512528,1,144.779965,0.599918255,0
abchaim,N,591.7631579,-0.132368666,1,128.5609403,0.654254091,0
abects,N,635.2051282,-0.032405187,0.975,155.666002,0.644291568,0.158113883
abeme,N,591.0555556,-0.24304944,0.947368421,182.9082431,0.93264001,0.226294286
abents,N,690.2564103,0.409967134,0.975,207.9193566,0.836690518,0.158113883
abests,N,640.5454545,0.124966684,0.894736842,167.4654985,0.968632209,0.311011748
abik,N,518.6315789,-0.692567654,1,105.8104938,0.552280735,0
ablobs,N,585.6756757,-0.359569673,1,173.9000438,0.872717888,0
abme,N,532,-0.643403843,1,120.9594527,0.557444541,0
abne,N,559.1282051,-0.418832761,0.975,162.1425915,0.852765505,0.158113883
abone,N,702.03125,0.585268685,0.868421053,234.6792574,1.09415009,0.342569987
abones,N,666.1470588,0.231781223,0.947368421,186.9838969,0.883654194,0.226294286
abow,N,699.4242424,0.27917585,0.894736842,220.9485277,1.097576631,0.311011748
abran,N,579.6578947,-0.515860992,1,154.1195177,0.638600855,0
abrass,N,660.7352941,0.238442123,0.921052632,261.9852308,1.210663993,0.273276313
abrast,N,677.9189189,0.388654405,0.925,178.1077044,0.967454664,0.266746783
abre,N,671.2105263,0.097175541,1,212.2240221,0.908947759,0
abreeves,N,666.3928571,0.160222011,0.8,251.5569797,1.142930837,0.405095747
abroths,N,606.5789474,-0.100627717,0.975,141.568555,0.822203202,0.158113883
abrush,N,746.5555556,0.824653983,0.736842105,215.9183131,1.448025303,0.44625835
abscrict,N,771.2857143,0.931001291,0.973684211,227.8771046,1.14252153,0.162221421
abscue,N,717.6896552,0.51859929,0.789473684,213.9688067,1.088031363,0.41315495
abscued,N,795.5882353,1.11836724,0.9,287.910352,1.474978148,0.30382181
abscusts,N,663.8484848,0.192935987,0.921052632,194.0790949,0.819399662,0.273276313
absians,N,697.2647059,0.497644782,0.921052632,159.429724,0.797813366,0.273276313
absidge,N,633.2564103,0.102480855,1,138.2259245,0.781258456,0
absigned,N,722.4333333,0.697574885,0.789473684,173.0149851,1.106213416,0.41315495
absincts,N,732.5,0.838867601,0.7,184.0067934,0.970081525,0.464095481
absipsed,N,567.3243243,-0.418889434,0.973684211,128.2120756,0.525597134,0.162221421
absirl,N,571.7105263,-0.410991759,0.975,162.3814175,0.912669713,0.158113883
abslete,N,671.5,0.411980447,0.85,109.8876385,0.717999858,0.361620285
absletes,N,648.2820513,0.192297636,0.975,130.8498434,0.91127228,0.158113883
absord,N,777.9259259,0.910376777,0.789473684,158.2680117,0.888892514,0.41315495
absords,N,893.5,1.422603019,0.657894737,224.101491,1.201956185,0.480782908
absost,N,689.8648649,0.194969967,0.973684211,227.1554977,1.121121387,0.162221421
absosts,N,612.7297297,0.091764518,1,154.2358671,0.868772718,0
absount,N,662.0512821,0.267550808,0.975,126.5722071,0.70602854,0.158113883
absounts,N,741,0.585325786,0.975,220.0967846,0.933082381,0.158113883
abstrade,N,733.3428571,0.892125251,0.95,176.3674211,1.082091658,0.220721428
abstrides,N,749.0909091,0.860895111,0.85,255.9480372,1.319543723,0.361620285
abstuened,N,652.5897436,0.059342728,1,194.2866463,0.930891432,0
abstuent,N,701.2857143,0.421594363,0.921052632,224.3878695,0.909474897,0.273276313
absuse,N,838.125,1.386069403,0.45,228.5495935,1.184705321,0.503831474
absused,N,937.6923077,1.922072429,0.342105263,259.978648,1.266606372,0.480782908
abud,N,630.3947368,-0.100842546,1,186.9297511,1.002974252,0
abusts,N,706.2352941,0.751629911,0.85,163.8036627,1.032976436,0.361620285
abvid,N,604.725,-0.135261292,1,220.6987723,1.113192876,0
abwipt,N,539.975,-0.54353905,1,104.5394018,0.679179114,0
acaned,N,585.1025641,-0.272254374,0.975,148.054541,0.750061638,0.158113883
acax,N,516.1578947,-0.7898755,1,100.6518018,0.311899982,0
accar,N,635.3421053,-0.088055381,0.975,262.0401533,1.211634193,0.158113883
accars,N,583.2631579,-0.180249205,0.95,149.8580742,0.841928041,0.220721428
acclo,N,581.6842105,-0.511374219,1,210.3095666,0.719282852,0
accrieve,N,637.2941176,0.157163826,0.921052632,123.7133856,1.053627054,0.273276313
accrieved,N,680.1818182,0.413971737,0.875,140.7893938,0.99170367,0.334932064
accrond,N,632.4736842,0.044625174,0.975,162.5635405,0.896699272,0.158113883
accubes,N,589.6315789,-0.222409038,0.95,113.3512649,0.650269345,0.220721428
accult,N,808.7391304,1.078052355,0.736842105,253.3411673,1.086187691,0.44625835
accune,N,726.6216216,0.439160682,1,249.611515,1.09841735,0
accurd,N,667.483871,0.327123471,0.825,138.4201023,0.917421498,0.384807644
accures,N,806.8947368,1.35298903,0.526315789,228.5290876,1.172957976,0.506009406
accusts,N,701.6764706,0.432912875,0.875,192.6624809,0.962371454,0.334932064
aced,N,515,-0.075437733,0.026315789,NA,NA,0.162221421
achens,N,662.4594595,0.241724003,0.95,202.425102,1.128658579,0.220721428
achms,N,585.3717949,-0.341451272,1,168.915341,0.767333609,0
achop,N,585.3888889,-0.472744228,0.947368421,122.751614,0.496109577,0.226294286
aciss,N,574.5135135,-0.54589417,1,119.3241667,0.491033907,0
acive,N,636.4210526,0.106852353,0.95,136.3210899,0.814328329,0.220721428
acks,N,597.6410256,-0.240609005,1,165.3474873,0.782456423,0
acloot,N,534.5405405,-0.740793979,0.973684211,119.2261144,0.420092126,0.162221421
acnant,N,544.2820513,-0.545879079,1,122.0258706,0.603049596,0
acone,N,661.7222222,0.09210053,0.973684211,206.917045,1.148755937,0.162221421
acorked,N,602.7352941,-0.202463905,0.973684211,176.4103874,0.938120639,0.162221421
acqure,N,797.7272727,1.089296797,0.894736842,194.640899,0.98199527,0.311011748
acqured,N,833.71875,1.413172,0.894736842,252.6536881,1.197039681,0.311011748
acreds,N,631.2857143,-0.092726248,0.973684211,200.4067293,0.702694124,0.162221421
acruist,N,643.4473684,0.225294198,0.975,150.6952711,1.003166175,0.158113883
acsuakes,N,582.6410256,-0.329509681,1,143.5146219,0.556816848,0
acter,N,821.9,1.324819783,0.5,224.5798182,1.405586108,0.506369684
acters,N,787.9090909,0.927899256,0.6,254.8472762,1.152991505,0.496138938
actot,N,610.9736842,-0.111648665,0.95,200.5098214,0.945010773,0.220721428
acung,N,563.8108108,-0.490189566,1,178.80558,0.641031805,0
adaints,N,642.225,0.073178578,1,193.7784206,1.025661163,0
adbells,N,574.8108108,-0.419278264,0.975,166.8939846,0.801305526,0.158113883
adbly,N,607.8421053,-0.226473903,1,197.1631957,0.963865325,0
adbries,N,602.4615385,-0.288353806,1,260.0406695,0.88808518,0
adbu,N,541.9210526,-0.627485617,1,160.4125394,0.928801527,0
adbys,N,541.7027027,-0.623904846,0.973684211,142.5353494,0.528524681,0.162221421
adcorb,N,609.5135135,-0.110066618,1,151.823293,1.000086514,0
adcorbs,N,607.725,-0.108411838,1,150.2969689,0.707068363,0
adcorts,N,604.7777778,-0.143078459,0.975,130.6450176,0.686999805,0.158113883
addal,N,591.972973,-0.277416437,1,198.15503,0.929313721,0
addaled,N,671.5277778,0.310518036,0.975,223.2331883,1.105727539,0.158113883
addave,N,599.15,-0.141451981,1,156.6838316,1.230829469,0
adday,N,635.0571429,-0.078026781,0.921052632,180.955949,0.799447377,0.273276313
addeared,N,658.5925926,0.259130847,0.775,206.6269882,1.126268088,0.422902062
addend,N,680.9428571,0.344046801,0.925,211.880369,1.107114361,0.266746783
addends,N,666.84375,0.03607877,0.842105263,181.3467734,1.052921924,0.369537021
addralt,N,620.7567568,-0.37038916,1,249.4130226,0.759262832,0
addre,N,556.225,-0.334845589,1,131.6024486,0.897029502,0
addume,N,627.6842105,-0.090475403,1,214.164638,1.168795973,0
addunds,N,634.1621622,-0.01066833,0.973684211,242.9037891,1.254637896,0.162221421
addured,N,688.1666667,0.429975418,0.815789474,197.2997166,1.133719022,0.392859452
addushed,N,659.5263158,0.100738094,1,235.9288414,0.960433727,0
adeen,N,636.4210526,-0.147873215,1,172.695112,0.804850271,0
adfle,N,525.95,-0.618539508,1,95.90405195,0.370170037,0
adfler,N,567.0540541,-0.504336989,1,213.4789797,0.74425208,0
adfles,N,564,-0.396789593,1,149.6962737,0.90831988,0
adhands,N,634.5128205,-0.00361965,0.975,205.9837592,0.802058143,0.158113883
adhirds,N,680.4473684,0.299031555,0.975,282.8264387,1.420896208,0.158113883
adhist,N,670.2820513,0.296701164,0.975,195.5821201,1.062523576,0.158113883
adiffs,N,558.9230769,-0.348597463,1,121.6280751,0.75047516,0
adle,N,710.6923077,0.355261876,0.7,241.0523212,1.102262283,0.464095481
adlears,N,622.7368421,-0.135741345,1,198.1841464,1.005357701,0
adleys,N,609.5833333,-0.266879882,1,193.1881947,0.923764751,0
adloss,N,591.3,-0.188452539,1,161.9056705,0.987044821,0
adly,N,650.5,0.080400118,0.975,280.1640846,1.156810939,0.158113883
admar,N,562.5641026,-0.328266218,1,117.0150226,0.591620138,0
admueurs,N,600.6153846,-0.16530502,1,128.3559228,0.597829907,0
admuffs,N,679.1315789,0.045380608,1,249.5499919,1.12496027,0
admugned,N,648.4473684,-0.069780022,1,275.4835255,0.97441775,0
admunds,N,661.4871795,0.13077339,0.975,230.9912133,1.256873143,0.158113883
admurst,N,655.3,0.057124239,1,214.6255176,0.970600021,0
adom,N,615.2105263,-0.211014361,0.95,227.9996631,0.993423015,0.220721428
adsen,N,585.5405405,-0.47073917,1,198.8130885,0.728973403,0
adstied,N,694.9230769,0.17877719,1,267.008514,1.118760862,0
adter,N,565.8421053,-0.40729611,1,126.7720931,0.68837884,0
advioned,N,661.8571429,0.23629062,1,169.9064003,0.847692303,0
adwocked,N,606.15,-0.268673096,1,157.9442534,0.777801801,0
adwoke,N,600.2702703,-0.237639867,0.973684211,154.4683802,0.691527247,0.162221421
adwolds,N,617.05,-0.223161083,1,239.4426166,0.997078502,0
adwosks,N,582.6666667,-0.444560198,1,173.2010291,0.743430639,0
adwouched,N,632.3684211,-0.115422235,1,184.8874634,0.79902244,0
adwourts,N,608.7631579,-0.316372732,1,189.335029,0.892243279,0
aecher,N,555.275,-0.539739868,1,115.1832403,0.550029365,0
aekom,N,560.4210526,-0.574037084,1,135.5550415,0.969110481,0
aertion,N,581.3428571,-0.465380069,0.973684211,160.0701947,0.580782051,0.162221421
aesful,N,559.2307692,-0.460027342,0.975,136.3732227,0.620910557,0.158113883
afalt,N,558.3,-0.325850524,1,106.3468443,0.796364983,0
afas,N,561.6315789,-0.474885794,1,136.1861645,0.789072507,0
afed,N,564.974359,-0.417695059,1,160.1523103,0.922507686,0
afel,N,537.6111111,-0.668546931,0.973684211,106.2644351,0.521226282,0.162221421
afept,N,562.974359,-0.396794664,0.975,153.0263973,0.851906393,0.158113883
afepts,N,539.275,-0.598864799,1,94.94100395,0.509752262,0
aferes,N,535.2307692,-0.538352986,0.975,112.2906149,0.668759973,0.158113883
aferned,N,647.5641026,0.096974562,0.975,169.4546663,0.921228457,0.158113883
afes,N,561.4358974,-0.469293178,1,177.6117125,1.107199936,0
affeal,N,664.1142857,0.03644713,0.921052632,205.9068566,0.811263475,0.273276313
affecks,N,721.90625,0.687651925,0.868421053,205.3119357,1.150080489,0.342569987
affelts,N,548.225,-0.446135529,1,150.5450759,0.791238979,0
affends,N,697.4444444,0.568804684,0.75,160.999363,0.915874316,0.43852901
afflane,N,614,-0.23385121,0.894736842,145.5021478,0.660374821,0.311011748
afflarts,N,618.0526316,-0.176760723,1,185.9444769,0.71427856,0
affolds,N,713.0333333,0.438649215,0.842105263,242.6719772,1.427925437,0.369537021
affope,N,564.15,-0.369518895,1,149.2539653,0.843182614,0
afforts,N,763.75,0.797883645,0.8,221.7792738,1.311948869,0.405095747
affranes,N,616.7027027,-0.062067812,0.973684211,167.9065323,0.971839377,0.162221421
affrins,N,652.875,0.295660486,1,129.1008724,1.047638956,0
affrows,N,617.6944444,0.023621676,0.95,196.921423,1.088678628,0.220721428
affug,N,537.75,-0.678158538,1,127.1229467,0.640049255,0
affund,N,633.9736842,0.109527944,1,153.1359556,1.028537297,0
affurned,N,609.8055556,-0.078152387,0.975,153.0166787,1.106783184,0.158113883
affuse,N,670.4444444,0.135795107,0.789473684,241.0739327,1.103048262,0.41315495
affuth,N,555.8461538,-0.416129577,1,119.5199914,0.647516855,0
afia,N,612.3142857,-0.030169787,0.973684211,188.2571413,1.138666287,0.162221421
afoins,N,557.7837838,-0.439919061,1,114.2514612,0.547432412,0
afoods,N,585.0263158,-0.27828625,1,175.9662877,0.910124185,0
afoys,N,547.2368421,-0.468158408,0.975,105.458698,0.575023897,0.158113883
afress,N,582.2820513,-0.267242124,1,177.6024462,0.807944856,0
afrome,N,592.1025641,-0.316642073,1,197.1700835,0.878505009,0
afrons,N,691.6,0.468227644,0.9,243.6570879,1.506511004,0.30382181
afrorm,N,655.6153846,0.109733886,0.975,205.2690937,0.907577621,0.158113883
afstint,N,532.1,-0.481852341,1,119.4409628,0.705753978,0
aftus,N,545.375,-0.449723505,1,118.4906547,0.60302064,0
agbuct,N,602.0555556,-0.357258541,0.947368421,194.6720237,0.915186583,0.226294286
agelier,N,736.7777778,0.601670331,1,252.9196497,1.312897415,0
agemess,N,679.6756757,0.300686047,1,228.904766,1.112470693,0
agfor,N,548.9473684,-0.63746481,1,143.0367459,0.531746464,0
agfors,N,539.55,-0.47347422,1,175.277209,1.002394865,0
aggect,N,596.9189189,-0.25545632,1,159.1443053,0.612087812,0
aggess,N,591.8529412,-0.18600331,0.921052632,127.4203571,0.587869027,0.273276313
aggey,N,626.95,-0.010956233,1,187.1732983,1.023989608,0
aggeys,N,551.775,-0.430988561,1,120.8261068,0.630852682,0
aggraimed,N,658.5833333,0.211023263,1,200.5796422,1.01898206,0
aggraims,N,643.4615385,0.063582073,1,196.3771675,0.973300679,0
aggrues,N,679.75,0.280229434,0.947368421,212.4900502,1.102544192,0.226294286
aghect,N,544.65,-0.535025163,1,131.9365718,0.580383988,0
aghonced,N,560.9487179,-0.427952101,1,86.88193705,0.54646478,0
agift,N,652.3783784,0.131640488,0.973684211,212.8346191,1.282008198,0.162221421
agims,N,550.9473684,-0.473118207,1,73.31713688,0.588937459,0
agincts,N,595.8974359,-0.157521213,1,171.3036385,0.977435022,0
agive,N,644.725,-0.003547092,1,235.7764029,0.93643022,0
agix,N,577.8684211,-0.334673995,1,172.0686807,0.864573949,0
agler,N,639.4857143,0.073338449,0.973684211,152.1901619,0.856231218,0.162221421
agok,N,573.6756757,-0.311630732,0.973684211,136.9478924,0.798809119,0.162221421
agope,N,599.3846154,-0.203015248,0.975,141.1528875,0.846577364,0.158113883
agright,N,693.7105263,0.356852625,1,247.6445696,0.909116901,0
agshess,N,600.7297297,-0.210638009,1,191.8350925,0.708095723,0
agstess,N,587.4358974,-0.385672572,0.975,229.8918275,0.761811337,0.158113883
agtrain,N,625.9487179,0.008012077,1,208.7265838,1.090912028,0
agtrained,N,650.525,0.221320116,1,190.9870431,0.831299445,0
agur,N,618.7878788,-0.084693228,0.85,226.5574924,1.067614947,0.361620285
ahoits,N,565.4324324,-0.436604824,1,119.6909308,0.695383098,0
ahokes,N,611.3684211,-0.241999831,1,259.7475303,0.965063263,0
ahor,N,606.6285714,-0.184108066,0.947368421,226.6762508,1.279326658,0.226294286
ahord,N,611.8108108,-0.066916353,0.975,172.3217014,0.998032058,0.158113883
ahords,N,612.1764706,-0.071761691,0.947368421,175.1971133,0.935072528,0.226294286
ahries,N,555.4736842,-0.50029874,1,118.2184732,0.726343942,0
ahun,N,585.025,-0.373510956,1,192.8472875,1.065743576,0
aice,N,611.1666667,-0.184015081,1,194.9957986,0.833374001,0
aices,N,599.3157895,-0.242317099,1,188.4011111,0.849154422,0
aicipes,N,566.4285714,-0.408504941,0.973684211,106.5773085,0.638534326,0.162221421
aier,N,563.7631579,-0.403366363,1,109.6624882,0.542994284,0
aight,N,728.25,0.517904014,0.947368421,243.1862749,1.15398878,0.226294286
aights,N,694.3939394,0.314476838,0.921052632,204.2666669,1.225038823,0.273276313
ailpay,N,612.0789474,-0.04738481,1,139.2076772,0.838711231,0
ailpays,N,682.45,0.274366393,1,202.0156062,1.061690445,0
ainfogue,N,602.15,-0.124941397,1,164.560261,1.029941476,0
ainlibes,N,568.575,-0.372552812,1,130.7063429,0.655894459,0
ains,N,637.2054795,0.011855644,0.948717949,205.1277352,0.935142954,0.222000111
aints,N,655.9714286,0.222222022,0.925,195.066427,0.997576074,0.266746783
aipse,N,559,-0.379675742,0.95,123.3110766,0.755916697,0.220721428
aipsed,N,597.474359,-0.233068133,1,219.0554531,0.871395848,0
airclaps,N,679.2285714,0.501476842,0.9,174.9418535,1.120965571,0.30382181
airclime,N,638.7368421,0.178858898,1,134.0695028,0.715198048,0
airclimes,N,656.4857143,0.286485891,0.973684211,167.2169024,0.968374107,0.162221421
airclip,N,784.2916667,0.892365738,0.657894737,173.781842,1.330240749,0.480782908
aircul,N,662.9189189,-0.03689694,1,195.3875605,0.760203852,0
airdess,N,707.6764706,0.390049513,0.947368421,198.9217481,0.997270419,0.226294286
airdraw,N,703.6451613,0.478509466,0.8,270.2384809,1.179263291,0.405095747
airdraws,N,751.8275862,0.572172015,0.789473684,200.6117553,0.976496939,0.41315495
airflails,N,713.8421053,0.472439529,1,201.7175609,1.127270759,0
airflift,N,937,1.468231262,0.447368421,326.7698662,1.219528115,0.503896623
airgroin,N,659.525,0.151856984,1,237.6776515,1.129207678,0
airguild,N,767.8857143,0.695332137,0.947368421,278.0146813,1.321266269,0.226294286
airguilds,N,763.8181818,0.747713796,0.921052632,277.6792726,1.217105793,0.273276313
airn,N,619.6052632,-0.085742544,1,193.7643511,1.01191544,0
airnos,N,612.5,-0.096682745,1,195.5103775,0.907039275,0
airplop,N,708.3142857,0.37133898,0.921052632,199.580556,1.013503407,0.273276313
airshall,N,670.0833333,0.314995633,0.95,158.9302408,0.831828461,0.220721428
airsouth,N,660.3513514,0.14986418,0.975,211.2948462,0.895110399,0.158113883
airstares,N,713.2162162,0.576209418,0.95,271.18138,1.131139376,0.220721428
airstash,N,757.75,0.68009141,0.973684211,229.8924438,0.887224191,0.162221421
airstay,N,848.5483871,1.303232215,0.815789474,321.8085185,1.132045092,0.392859452
airstrums,N,747.1176471,0.6371258,0.875,324.7300758,1.253073895,0.334932064
aistnale,N,578.1315789,-0.365427387,1,116.4966468,0.759551918,0
aists,N,575.3846154,-0.317942734,1,130.0527455,0.699241556,0
aiths,N,538.425,-0.537811667,1,109.7068092,0.455184221,0
aits,N,564.7763158,-0.375160818,0.974358974,156.0157769,0.817757288,0.159084963
aive,N,607.3636364,-0.111303081,0.987179487,178.2879774,0.80464547,0.113227703
aives,N,579.0540541,-0.37350047,0.973684211,112.5694714,0.667463149,0.162221421
aize,N,588.6710526,-0.281669399,1,146.5580557,0.753316227,0
ajeqous,N,623.0540541,-0.055727756,1,203.1232447,1.043048182,0
ajoin,N,751.8947368,0.861625862,0.475,278.028155,1.562769825,0.505736325
akcul,N,535.1794872,-0.54588045,0.975,124.147169,0.851990429,0.158113883
akde,N,536.4,-0.642532689,1,115.5246228,0.663536551,0
akes,N,599.8461538,-0.14817435,1,165.485496,0.981818525,0
akhs,N,571.7179487,-0.383830361,0.975,211.0968783,1.19387671,0.158113883
akrade,N,620.9230769,-0.13716026,1,224.2862814,1.162170823,0
alade,N,621.5384615,-0.097195508,0.975,179.5517586,0.837391548,0.158113883
alamp,N,595.775,-0.207834809,1,193.2497371,0.735654385,0
alap,N,638,-0.04582525,0.925,200.8376901,0.981961156,0.266746783
alaves,N,570.7692308,-0.264840162,0.975,145.0958778,0.785337672,0.158113883
alawn,N,629.3157895,-0.124353062,1,183.7705834,0.961422129,0
albole,N,588.1315789,-0.34776695,1,145.9692991,0.679578212,0
albolls,N,539.0512821,-0.528577728,0.975,139.4330529,0.891790277,0.158113883
albust,N,637.225,0.106185973,1,158.6960468,0.802896478,0
alcas,N,591.8108108,-0.184746361,1,180.4808143,1.129860015,0
alcimin,N,624.4166667,-0.135799138,1,144.6444656,0.741137027,0
alcirans,N,591.0810811,-0.356817123,1,105.2893839,0.534301878,0
aldims,N,610.9210526,-0.273697972,1,253.4983748,0.97333562,0
alesray,N,669.7894737,-0.01787627,1,283.0918252,1.107762167,0
alfives,N,597.5641026,-0.229098612,1,176.0219476,0.73847637,0
alfpard,N,579.25,-0.425710789,1,142.3210077,0.518922107,0
aliels,N,633.25,-0.136272868,0.973684211,165.1311816,0.747953573,0.162221421
alked,N,562.1944444,-0.358617774,0.973684211,93.92483908,0.670699108,0.162221421
alkoe,N,548.0263158,-0.393155074,1,132.9282446,0.851703139,0
alks,N,543.7702703,-0.475083876,0.974358974,110.889745,0.694390266,0.159084963
allaced,N,691.0789474,0.345858218,0.95,230.1019024,1.057342322,0.220721428
allahed,N,558.6,-0.342403654,1,122.937299,0.820382812,0
allald,N,534.65,-0.423343836,1,97.50333328,0.520869186,0
allaled,N,632.1081081,-0.179381108,0.973684211,283.2606558,1.001745028,0.162221421
allape,N,619.6052632,-0.064130598,1,256.5832186,1.000552233,0
allaps,N,565.0789474,-0.339181732,0.95,111.6263995,0.747920631,0.220721428
allar,N,681.6764706,0.20942978,0.921052632,196.9358795,0.900604645,0.273276313
alldess,N,595.15,-0.193856045,1,135.6680621,0.788692987,0
alldets,N,593.575,-0.300381227,1,191.9732737,0.956763686,0
allim,N,611.6756757,-0.408008428,0.973684211,273.7960569,1.021575763,0.162221421
allint,N,597.1052632,-0.293342308,1,167.0316024,0.841478227,0
allired,N,610.1315789,0.000746743,1,157.1142072,0.974556009,0
allob,N,548.625,-0.513760097,1,87.48675724,0.606243134,0
allops,N,605.5526316,-0.101495277,0.975,195.0248352,0.968107185,0.158113883
allou,N,575.2162162,-0.471028397,1,163.9176852,0.7695076,0
allound,N,736.3421053,0.625257678,0.975,266.5541146,1.155743326,0.158113883
allsit,N,610.6,-0.01957122,0.925,155.0212889,0.843523624,0.266746783
allye,N,548.1081081,-0.474732833,1,120.5009875,0.516342698,0
almed,N,629.4054054,0.029509633,0.925,166.8101815,1.102412062,0.266746783
almstreck,N,588.5,-0.299759111,1,179.80887,0.815835299,0
aloid,N,598.1891892,-0.265260956,0.973684211,167.6901637,0.715076685,0.162221421
aloiled,N,665.4594595,0.162139028,1,272.6264839,1.153120843,0
alolds,N,575.6315789,-0.350785997,1,209.8785261,1.103145323,0
alord,N,688,0.442429652,0.875,232.0906302,1.215087629,0.334932064
aloss,N,713.5833333,0.507248776,0.925,279.709888,1.465417103,0.266746783
alped,N,659.516129,0.265583179,0.775,237.4521525,1.027440382,0.422902062
alpen,N,685,-0.210065922,0.275,487.1141778,1.760082159,0.452202587
alping,N,738.9333333,0.708557897,0.8,292.7916681,1.421599461,0.405095747
alsehorts,N,659.275,0.189493132,1,216.5708254,0.867682133,0
alspouch,N,632,-0.276170353,1,218.8349989,0.816564041,0
alsund,N,571.9473684,-0.514348262,1,158.2649075,0.648255784,0
alsunds,N,583.0555556,-0.272623083,1,183.3295151,0.893293297,0
althos,N,598.7027027,-0.173543037,0.95,137.6024598,0.912552176,0.220721428
altzed,N,601.2368421,-0.209093654,0.987179487,183.2964716,0.866726202,0.113227703
alvim,N,556.2894737,-0.518129724,1,146.4670257,0.638492598,0
alylls,N,597.1081081,-0.200111718,1,196.9307244,1.345557651,0
amape,N,645.5675676,-0.054876507,1,210.5386664,0.956626621,0
amately,N,711.4,0.445551069,1,221.898652,1.134706959,0
amaus,N,555.6315789,-0.295840112,0.975,146.2817387,1.024541105,0.158113883
ambent,N,731.057971,0.60465274,0.884615385,196.3503684,1.091937864,0.321553422
ambents,N,686.1875,0.309595274,0.842105263,218.1707584,0.879984441,0.369537021
ambert,N,646.4594595,0.053681594,1,223.9860604,1.010709439,0
amberts,N,626.8421053,-0.033164428,0.975,154.7897487,0.741712113,0.158113883
ambess,N,633.65,0.097236146,1,184.5309438,1.120359385,0
ambessed,N,750.3055556,0.413276046,0.95,258.5449195,0.989684798,0.220721428
ambets,N,640.1142857,-0.044342748,0.921052632,202.266099,0.624784856,0.273276313
ambic,N,645.0571429,0.146473984,0.9,168.8943183,1.10554146,0.30382181
ambind,N,637.8461538,0.135027678,1,166.2796532,1.014290124,0
ambs,N,623.9459459,-0.124558949,1,224.7405845,1.044704317,0
amcars,N,565.5128205,-0.424464207,0.975,148.7001348,0.698932464,0.158113883
amed,N,662.9285714,0.173542548,0.91025641,231.2069354,1.073534132,0.28766401
ameg,N,559.2432432,-0.420980283,0.975,148.4199008,0.624851309,0.158113883
ameshed,N,650.796875,0.170623779,0.871794872,176.7935914,0.844202255,0.336481966
amett,N,593.3684211,-0.292081267,1,194.3851597,0.88328061,0
amhance,N,718.6842105,0.622324617,1,236.1501017,1.175863694,0
amho,N,561.7567568,-0.533730197,0.973684211,125.2014833,0.693941515,0.162221421
amiance,N,728.3529412,0.665172792,0.85,205.7466642,1.157432331,0.361620285
amias,N,635.2307692,0.098504588,0.975,192.1458412,0.988774984,0.158113883
amibed,N,596.3076923,-0.189461388,0.975,152.2539696,0.732796974,0.158113883
amion,N,608.5384615,-0.102189344,0.975,130.0141381,0.781166094,0.158113883
amiques,N,653.1621622,0.295044864,0.925,127.1391437,0.927610847,0.266746783
amise,N,671.3225806,0.241117597,0.842105263,182.0496978,1.236609471,0.369537021
amives,N,573.3947368,-0.42767635,1,138.6544489,0.474395651,0
amler,N,624.6578947,-0.117392374,1,189.4166402,0.77316922,0
amlers,N,625.775,-0.24282638,1,184.3200237,0.74910994,0
amlo,N,535.15,-0.654474577,1,116.573197,0.492897588,0
amlos,N,547.7368421,-0.699944294,1,118.3023347,0.552640612,0
ammedes,N,639.6388889,0.123749446,0.975,222.0602431,1.344634125,0.158113883
ammet,N,603.9722222,-0.256651156,1,175.4715258,0.821444086,0
ammete,N,643.5526316,-0.002104689,0.975,195.8062608,0.89042282,0.158113883
ammict,N,557.1315789,-0.49366571,1,112.8759594,0.628237414,0
amna,N,559.7567568,-0.330934796,0.975,128.0627896,0.785031174,0.158113883
amning,N,618.1025641,-0.144015618,1,199.985762,0.998642205,0
amns,N,604.5384615,-0.252572655,1,196.4903548,0.92162775,0
amom,N,694.5897436,0.24743485,0.975,230.5173493,0.923329255,0.158113883
amoubt,N,636.3076923,0.045258933,0.975,194.0352862,0.876369961,0.158113883
ampaigns,N,612.55,0.0124882,1,135.8496435,0.702215951,0
ampgrair,N,612.2105263,-0.102595383,1,203.0705054,0.849509527,0
ampgrairs,N,624.1842105,-0.187494523,1,277.300194,0.875070608,0
ampist,N,718.3714286,0.55673329,0.95,186.3171057,1.053195177,0.220721428
ampiste,N,615.3589744,-0.12205808,1,175.0671281,0.92675898,0
amplal,N,578.55,-0.295530486,1,101.2706326,0.635051821,0
amrays,N,614.75,-0.013306965,0.973684211,159.2312559,0.998560331,0.162221421
amsha,N,527.8421053,-0.617047299,1,129.8992388,0.596010834,0
amsice,N,542.975,-0.472449764,1,113.6392149,0.487587574,0
amsine,N,583.4615385,-0.223833804,0.975,155.6755814,0.819399598,0.158113883
amtan,N,554.225,-0.453064429,1,127.1472975,0.694603575,0
amwere,N,552.9210526,-0.503311218,1,125.306194,0.518225673,0
amwight,N,643.3589744,-0.012607551,0.975,263.1486959,1.179790497,0.158113883
