spelling,lexicality,rt,zscore,accuracy,rt.sd,zscore.sd,accuracy.sd
uric,W,579,0.16040775,0.026315789,NA,NA,0.162221421
urine,W,572.6315789,-0.435575013,1,109.8218265,0.511090047,0
urn,W,630.4285714,0.162318423,0.725,192.3939686,1.286321555,0.452202587
urns,W,777.875,0.616968876,0.631578947,349.7353425,0.965498783,0.48885153
us,W,566.3684211,-0.430738023,0.95,268.9325668,1.233370697,0.220721428
usage,W,631.1081081,0.015385497,0.925,163.2756333,0.805884644,0.266746783
use,W,485.4615385,-0.854371881,0.975,87.76009348,0.369105727,0.158113883
used,W,533.55,-0.651863026,1,121.4356324,0.677574691,0
useful,W,520.5,-0.724244002,1,91.555551,0.497842943,0
useless,W,503.974359,-0.799821395,0.975,87.08872886,0.371692068,0.158113883
user,W,550.4705882,-0.443073299,0.894736842,90.03374293,0.64181992,0.311011748
users,W,561.4324324,-0.382628915,0.973684211,132.7029977,0.846500175,0.162221421
uses,W,550.0810811,-0.591068677,0.973684211,166.9120491,0.63737892,0.162221421
usher,W,610.7435897,-0.023868984,0.975,187.3803784,0.854946946,0.158113883
ushered,W,690.3823529,0.162595844,0.894736842,220.1577967,0.842011946,0.311011748
ushers,W,651.0571429,0.093435222,0.973684211,130.0056431,0.647019493,0.162221421
using,W,529.75,-0.645956741,0.925,112.2050101,0.470417667,0.266746783
usual,W,541.0540541,-0.628581478,1,122.5091711,0.569253661,0
usurp,W,767.0909091,0.762872326,0.315789474,228.4812704,1.262577609,0.471069121
usurped,W,779.3809524,1.250931353,0.575,195.3331708,1.060128974,0.500640615
usurps,W,762.95,1.150883699,0.525,220.4630235,1.159797438,0.505736325
utmost,W,695.3125,0.270307503,0.85,181.8028776,0.704671465,0.361620285
utter,W,605.6285714,-0.223603383,0.921052632,146.2445747,0.659266802,0.273276313
uttered,W,614.1794872,-0.056781156,0.975,125.5606106,0.491153373,0.158113883
utters,W,626.1176471,-0.008235388,0.875,141.8472855,0.596979906,0.334932064
vac,W,626.7692308,-0.080955717,0.325,161.7349446,0.725045328,0.474341649
vacant,W,559.825,-0.533965235,1,125.9893946,0.585679975,0
vacate,W,631.725,-0.083830412,1,208.7572492,0.902520734,0
vacates,W,678.3666667,0.130119616,0.868421053,207.7047778,0.800636927,0.342569987
vaccine,W,666.7567568,0.059514421,0.973684211,202.8285271,0.989530398,0.162221421
vaccines,W,659.6842105,0.062002535,0.975,256.6770087,0.969944604,0.158113883
vacs,W,731.6,0.815243049,0.125,182.5686172,1.401853038,0.334932064
vacuous,W,722.8,0.67386225,0.7,271.6620143,1.37310042,0.464095481
vacuum,W,582.2894737,-0.306180832,1,123.6752303,0.643461401,0
vacuumed,W,654.1142857,0.249931183,0.947368421,142.8804048,1.03433426,0.226294286
vacuums,W,583.2631579,-0.320247299,0.95,113.5983166,0.441002905,0.220721428
vagrant,W,640.9310345,0.142958546,0.75,190.7921328,0.929944829,0.43852901
vagrants,W,729,0.810237949,0.684210526,239.2683291,1.611073301,0.471069121
vague,W,580.5526316,-0.383059331,1,131.748675,0.529672697,0
vaguely,W,610.3428571,-0.191467067,0.947368421,203.9776434,0.589401641,0.226294286
