,ID,sender,sender_type,sender_id,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,response,response_action,prime,target,condition,soa_condition,congruence,correct_response,correctResponse,correct
160,4482,target,canvas.Screen,12_0_0_17_5,response,1272.0,123038.0,123038.0,123055.0,124310.0,124278.0,2024-09-12T08:25:08.921Z,124305.0,response_manmade,m,wasp,WASP,Con_Nat,long,congruent,n,n,False
167,4482,target,canvas.Screen,12_0_0_18_5,response,1258.0,125006.0,125005.0,125022.0,126263.0,126231.00000000001,2024-09-12T08:25:10.874Z,126255.0,response_manmade,m,eagle,WAGON,Inc_Nat_Synth,long,incongruent,m,m,True
174,4482,target,canvas.Screen,12_0_0_19_5,response,1205.0,126956.0,126955.0,126971.0,128160.0,128128.99999999999,2024-09-12T08:25:12.772Z,128155.0,response_manmade,m,stair,STAIR,Con_Synth,long,congruent,m,m,True
181,4482,target,canvas.Screen,12_0_0_20_5,response,1010.0000000000146,128854.99999999999,128855.0,128872.0,129865.00000000001,129830.99999999999,2024-09-12T08:25:14.474Z,129855.0,response_natural,n,flute,FLUTE,Con_Synth,long,congruent,m,m,False
188,4482,target,canvas.Screen,12_0_0_21_5,response,1223.0,130556.00000000001,130555.0,130572.0,131778.0,131747.0,2024-09-12T08:25:16.390Z,131772.0,response_natural,n,roof,PIANO,Inc_Synth_Synth,long,incongruent,m,m,False
195,4482,target,canvas.Screen,12_0_0_22_5,response,816.0,132473.0,132472.0,132489.0,133288.0,133255.0,2024-09-12T08:25:17.898Z,133271.0,response_natural,n,sink,LAMB,Inc_Synth_Nat,long,incongruent,n,n,True
202,4482,target,canvas.Screen,12_0_0_23_5,response,1741.0,133973.0,133972.0,133989.0,135713.0,135680.0,2024-09-12T08:25:20.323Z,135705.0,response_natural,n,canon,CANON,Con_Synth,long,congruent,m,m,False
209,4482,target,canvas.Screen,12_0_0_24_5,response,757.0,136391.0,136391.0,136405.0,137148.0,137117.0,2024-09-12T08:25:21.759Z,137139.0,response_natural,n,shark,HILL,Inc_Nat_Nat,long,incongruent,m,m,False
216,4482,target,canvas.Screen,12_0_0_25_5,response,642.0,137840.0,137839.0,137856.0,138481.0,138450.00000000003,2024-09-12T08:25:23.093Z,138472.0,response_natural,n,pear,PEAR,Con_Nat,long,congruent,n,n,True
223,4482,target,canvas.Screen,12_0_0_26_5,response,951.0,139173.0,139172.0,139189.0,140123.0,140090.0,2024-09-12T08:25:24.733Z,140105.0,response_manmade,m,slug,SLUG,Con_Nat,long,congruent,n,n,False
230,4482,target,canvas.Screen,12_0_0_27_5,response,921.0,140806.0,140806.0,140822.0,141727.0,141700.00000000003,2024-09-12T08:25:26.343Z,141722.0,response_manmade,m,flask,FLASK,Con_Synth,long,congruent,m,m,True
237,4482,target,canvas.Screen,12_0_0_28_5,response,882.0,142423.0,142422.0,142439.0,143304.0,143272.0,2024-09-12T08:25:27.914Z,143289.0,response_natural,n,desk,CANDY,Inc_Synth_Synth,long,incongruent,m,m,False
244,4482,target,canvas.Screen,12_0_0_29_5,response,1373.0,143990.0,143989.0,144006.0,145362.0,145330.0,2024-09-12T08:25:29.973Z,145355.0,response_manmade,m,broom,BROOM,Con_Synth,long,congruent,m,m,True
251,4482,target,canvas.Screen,12_0_0_30_5,response,1187.0,146057.00000000003,146056.0,146073.0,147243.0,147212.0,2024-09-12T08:25:31.854Z,147239.0,response_manmade,m,fort,GOAT,Inc_Synth_Nat,long,incongruent,n,n,False
258,4482,target,canvas.Screen,12_0_0_31_5,response,1119.0,147940.0,147939.0,147956.0,149058.0,149026.0,2024-09-12T08:25:33.668Z,149039.0,response_manmade,m,canoe,CANOE,Con_Synth,long,congruent,m,m,True
265,4482,target,canvas.Screen,12_0_0_32_5,response,750.0,149740.0,149739.0,149756.0,150489.0,150457.0,2024-09-12T08:25:35.099Z,150472.0,response_natural,n,bunny,ROSE,Inc_Nat_Nat,long,incongruent,m,m,False
272,4482,target,canvas.Screen,12_0_0_33_5,response,959.0,151174.0,151173.0,151189.0,152132.0,152100.0,2024-09-12T08:25:36.742Z,152123.0,response_natural,n,linen,LINEN,Con_Synth,long,congruent,m,m,False
279,4482,target,canvas.Screen,12_0_0_34_5,response,1103.000000000029,152824.0,152823.0,152839.0,153926.00000000003,153895.0,2024-09-12T08:25:38.537Z,153905.0,response_manmade,m,apron,APRON,Con_Synth,long,congruent,m,m,True
286,4482,target,canvas.Screen,12_0_0_35_5,response,931.0,154607.0,154606.0,154623.0,155537.0,155504.0,2024-09-12T08:25:40.146Z,155523.0,response_manmade,m,tongs,TONGS,Con_Synth,long,congruent,m,m,True
293,4482,target,canvas.Screen,12_0_0_36_5,response,973.0,156224.0,156223.0,156240.0,157196.0,157163.0,2024-09-12T08:25:41.805Z,157190.0,response_natural,n,earth,EARTH,Con_Nat,long,congruent,n,n,True
300,4482,target,canvas.Screen,12_0_0_37_5,response,978.0,157891.0,157890.0,157906.0,158868.0,158836.0,2024-09-12T08:25:43.478Z,158857.0,response_manmade,m,arrow,ARROW,Con_Synth,long,congruent,m,m,True
307,4482,target,canvas.Screen,12_0_0_38_5,response,1247.0,159557.00000000003,159556.0,159573.0,160803.0,160772.0,2024-09-12T08:25:45.413Z,160789.0,response_natural,n,barn,TUNA,Inc_Synth_Nat,long,incongruent,n,n,True
314,4482,target,canvas.Screen,12_0_0_39_5,response,1163.0,161490.0,161490.0,161507.0,162653.0,162621.0,2024-09-12T08:25:47.262Z,162640.0,response_manmade,m,scarf,SCARF,Con_Synth,long,congruent,m,m,True
321,4482,target,canvas.Screen,12_0_0_40_5,response,1069.0,163341.0,163340.0,163357.0,164409.0,164375.0,2024-09-12T08:25:49.017Z,164390.0,response_manmade,m,flood,SKIRT,Inc_Nat_Synth,long,incongruent,m,m,True
328,4482,target,canvas.Screen,12_0_0_41_5,response,1053.0,165091.0,165090.0,165106.0,166143.0,166111.0,2024-09-12T08:25:50.753Z,166123.0,response_manmade,m,cloud,MOTEL,Inc_Nat_Synth,long,incongruent,m,m,True
335,4482,target,canvas.Screen,12_0_0_42_5,response,790.0,166824.0,166823.0,166840.0,167613.0,167581.00000000003,2024-09-12T08:25:52.222Z,167607.0,response_natural,n,lemon,DUCK,Inc_Nat_Nat,long,incongruent,m,m,False
342,4482,target,canvas.Screen,12_0_0_43_5,response,938.0,168308.0,168307.0,168323.0,169245.0,169212.00000000003,2024-09-12T08:25:53.854Z,169241.0,response_manmade,m,swamp,DRILL,Inc_Nat_Synth,long,incongruent,m,m,True
349,4482,target,canvas.Screen,12_0_0_44_5,response,1050.0,169941.0,169940.0,169957.0,170990.0,170958.0,2024-09-12T08:25:55.599Z,170973.0,response_natural,n,stove,STOVE,Con_Synth,long,congruent,m,m,False
356,4482,target,canvas.Screen,12_0_0_45_5,response,983.0,171674.0,171673.0,171690.0,172656.0,172625.0,2024-09-12T08:25:57.266Z,172639.0,response_manmade,m,reef,REEF,Con_Nat,long,congruent,n,n,False
363,4482,target,canvas.Screen,12_0_0_46_5,response,1133.0,173341.0,173340.0,173357.0,174473.0,174440.0,2024-09-12T08:25:59.081Z,174456.0,response_manmade,m,shoe,COUCH,Inc_Synth_Synth,long,incongruent,m,m,True
370,4482,target,canvas.Screen,12_0_0_47_5,response,1024.0,175158.00000000003,175157.0,175174.0,176181.0,176148.0,2024-09-12T08:26:00.789Z,176174.0,response_natural,n,wheat,BRICK,Inc_Nat_Synth,long,incongruent,m,m,False
377,4482,target,canvas.Screen,12_0_0_48_5,response,977.0,176874.0,176874.0,176891.0,177851.0,177817.0,2024-09-12T08:26:02.458Z,177841.0,response_natural,n,bowl,WOLF,Inc_Synth_Nat,long,incongruent,n,n,True
384,4482,target,canvas.Screen,12_0_0_49_5,response,945.0,178541.0,178540.0,178556.0,179485.0,179452.0,2024-09-12T08:26:04.093Z,179474.0,response_natural,n,mall,BUSH,Inc_Synth_Nat,long,incongruent,n,n,True
391,4482,target,canvas.Screen,12_0_0_50_5,response,940.0,180175.0,180174.0,180191.0,181114.0,181082.0,2024-09-12T08:26:05.722Z,181107.0,response_manmade,m,crate,CRATE,Con_Synth,long,congruent,m,m,True
398,4482,target,canvas.Screen,12_0_0_51_5,response,1711.0,181808.0,181807.0,181823.0,183518.0,183483.0,2024-09-12T08:26:08.124Z,183506.0,response_natural,n,olive,MOTOR,Inc_Nat_Synth,long,incongruent,m,m,False
405,4482,target,canvas.Screen,12_0_0_52_5,response,1145.0,184208.0,184207.0,184224.0,185352.0,185318.0,2024-09-12T08:26:09.959Z,185341.0,response_manmade,m,boar,BOAR,Con_Nat,long,congruent,n,n,False
412,4482,target,canvas.Screen,12_0_0_53_5,response,910.0,186042.0,186041.0,186057.0,186951.0,186919.0,2024-09-12T08:26:11.559Z,186941.0,response_manmade,m,moose,PORCH,Inc_Nat_Synth,long,incongruent,m,m,True
419,4482,target,canvas.Screen,12_0_0_54_5,response,634.0,187642.0,187641.0,187658.0,188275.0,188242.0,2024-09-12T08:26:12.882Z,188257.0,response_natural,n,ocean,TREE,Inc_Nat_Nat,long,incongruent,m,m,False
426,4482,target,canvas.Screen,12_0_0_55_5,response,807.0,188975.0,188974.0,188991.0,189781.0,189747.0,2024-09-12T08:26:14.388Z,189757.0,response_manmade,m,shell,DIRT,Inc_Nat_Nat,long,incongruent,m,m,True
433,4482,target,canvas.Screen,12_0_0_56_5,response,1607.0,190457.0,190457.0,190474.0,192064.0,192031.0,2024-09-12T08:26:16.671Z,192057.0,response_manmade,m,sheep,BULL,Inc_Nat_Nat,long,incongruent,m,m,True
440,4482,target,canvas.Screen,12_0_0_57_5,response,785.0,192758.0,192757.0,192774.0,193542.0,193509.0,2024-09-12T08:26:18.149Z,193523.0,response_manmade,m,soap,PONY,Inc_Synth_Nat,long,incongruent,n,n,False
447,4482,target,canvas.Screen,12_0_0_58_5,response,1054.0,194225.0,194224.0,194241.0,195278.0,195245.0,2024-09-12T08:26:19.886Z,195257.0,response_manmade,m,moss,MOSS,Con_Nat,long,congruent,n,n,False
454,4482,target,canvas.Screen,12_0_0_59_5,response,1037.0,195959.0,195958.0,195974.0,196995.0,196961.0,2024-09-12T08:26:21.601Z,196974.0,response_natural,n,peas,PEAS,Con_Nat,long,congruent,n,n,True
463,4482,target,canvas.Screen,12_1_0_0_4,response,1064.0,232694.00000000003,232692.0,232709.0,233756.0,233719.0,2024-09-12T08:26:58.357Z,233742.0,response_manmade,m,cave,CAVE,Con_Nat,short,congruent,n,n,False
469,4482,target,canvas.Screen,12_1_0_1_4,response,1033.0,234360.0,234359.0,234376.0,235392.0,235356.0,2024-09-12T08:26:59.994Z,235376.0,response_natural,n,arena,VINE,Inc_Synth_Nat,short,incongruent,n,n,True
475,4482,target,canvas.Screen,12_1_0_2_4,response,866.0,235993.0,235993.0,236009.0,236859.0,236823.0,2024-09-12T08:27:01.462Z,236842.0,response_natural,n,grape,LLAMA,Inc_Nat_Nat,short,incongruent,n,n,True
481,4482,target,canvas.Screen,12_1_0_3_4,response,992.0,237461.0,237460.0,237476.0,238452.0,238416.0,2024-09-12T08:27:03.055Z,238443.0,response_manmade,m,toad,GLOVE,Inc_Nat_Synth,short,incongruent,m,m,True
487,4482,target,canvas.Screen,12_1_0_4_4,response,1012.0,239060.0,239059.0,239076.0,240071.0,240035.0,2024-09-12T08:27:04.673Z,240060.0,response_natural,n,puppy,PUPPY,Con_Nat,short,congruent,n,n,True
493,4482,target,canvas.Screen,12_1_0_5_4,response,999.0,240677.0,240676.0,240693.0,241675.0,241640.00000000003,2024-09-12T08:27:06.279Z,241659.0,response_manmade,m,toast,TOAST,Con_Synth,short,congruent,m,m,True
499,4482,target,canvas.Screen,12_1_0_6_4,response,932.0,242277.00000000003,242276.0,242293.0,243208.0,243173.0,2024-09-12T08:27:07.812Z,243193.0,response_manmade,m,coat,COAT,Con_Synth,short,congruent,m,m,True
505,4482,target,canvas.Screen,12_1_0_7_4,response,1233.0,243810.0,243810.0,243826.0,245043.0,245008.0,2024-09-12T08:27:09.646Z,245026.0,response_natural,n,rail,SQUID,Inc_Synth_Nat,short,incongruent,n,n,True
511,4482,target,canvas.Screen,12_1_0_8_4,response,1157.0,245643.0,245643.0,245660.0,246800.0,246764.0,2024-09-12T08:27:11.402Z,246776.0,response_natural,n,cobra,TWIG,Inc_Nat_Nat,short,incongruent,n,n,True
517,4482,target,canvas.Screen,12_1_0_9_4,response,731.0,247394.0,247393.0,247410.0,248124.0,248088.0,2024-09-12T08:27:12.726Z,248110.0,response_manmade,m,tower,TOWER,Con_Synth,short,congruent,m,m,True
523,4482,target,canvas.Screen,12_1_0_10_4,response,752.0,248727.0,248726.0,248743.0,249478.0,249440.0,2024-09-12T08:27:14.079Z,249460.0,response_manmade,m,kiosk,SOFA,Inc_Synth_Synth,short,incongruent,m,m,True
529,4482,target,canvas.Screen,12_1_0_11_4,response,818.0,250077.0,250076.0,250093.0,250894.0,250857.0,2024-09-12T08:27:15.495Z,250876.0,response_manmade,m,sword,SWORD,Con_Synth,short,congruent,m,m,True
535,4482,target,canvas.Screen,12_1_0_12_4,response,1015.0,251494.0,251493.0,251510.0,252508.0,252472.0,2024-09-12T08:27:17.110Z,252492.0,response_manmade,m,patio,SPOON,Inc_Synth_Synth,short,incongruent,m,m,True
541,4482,target,canvas.Screen,12_1_0_13_4,response,675.0,253111.00000000003,253110.0,253126.0,253785.0,253749.0,2024-09-12T08:27:18.387Z,253777.0,response_manmade,m,spade,SHELF,Inc_Synth_Synth,short,incongruent,m,m,True
547,4482,target,canvas.Screen,12_1_0_14_4,response,1948.999999999971,254394.0,254393.0,254410.0,256341.99999999997,256305.0,2024-09-12T08:27:20.943Z,256326.0,response_natural,n,creek,CREEK,Con_Nat,short,congruent,n,n,True
553,4482,target,canvas.Screen,12_1_0_15_4,response,828.0000000000291,256994.00000000003,256993.0,257010.0,257821.00000000003,257785.00000000003,2024-09-12T08:27:22.423Z,257810.0,response_manmade,m,belt,BELT,Con_Synth,short,congruent,m,m,True
559,4482,target,canvas.Screen,12_1_0_16_4,response,1030.0,258478.0,258477.0,258493.0,259507.0,259471.0,2024-09-12T08:27:24.109Z,259493.0,response_manmade,m,fern,PETAL,Inc_Nat_Nat,short,incongruent,n,n,False
565,4482,target,canvas.Screen,12_1_0_17_4,response,1258.0,260161.0,260160.0,260177.0,261418.0,261381.00000000003,2024-09-12T08:27:26.019Z,261410.0,response_manmade,m,ruler,PANSY,Inc_Synth_Nat,short,incongruent,n,n,False
571,4482,target,canvas.Screen,12_1_0_18_4,response,708.0,262078.00000000003,262077.0,262094.0,262785.0,262748.0,2024-09-12T08:27:27.386Z,262759.0,response_natural,n,melon,HOSE,Inc_Nat_Synth,short,incongruent,m,m,False
577,4482,target,canvas.Screen,12_1_0_19_4,response,738.0,263428.0,263427.0,263444.0,264165.0,264128.0,2024-09-12T08:27:28.766Z,264143.0,response_manmade,m,gate,GATE,Con_Synth,short,congruent,m,m,True
583,4482,target,canvas.Screen,12_1_0_20_4,response,1516.0,264828.00000000006,264827.0,264843.0,266343.0,266306.0,2024-09-12T08:27:30.944Z,266326.0,response_manmade,m,berry,OTTER,Inc_Nat_Nat,short,incongruent,n,n,False
589,4482,target,canvas.Screen,12_1_0_21_4,response,1125.0,266994.0,266994.0,267010.0,268119.0,268081.0,2024-09-12T08:27:32.718Z,268111.0,response_natural,n,spear,MOTH,Inc_Synth_Nat,short,incongruent,n,n,True
595,4482,target,canvas.Screen,12_1_0_22_4,response,964.0,268778.0,268777.0,268794.0,269741.0,269703.00000000006,2024-09-12T08:27:34.340Z,269727.0,response_manmade,m,cable,CABLE,Con_Synth,short,congruent,m,m,True
601,4482,target,canvas.Screen,12_1_0_23_4,response,1091.0,270395.0,270394.0,270410.0,271485.0,271449.0,2024-09-12T08:27:36.086Z,271477.0,response_manmade,m,seed,SEED,Con_Nat,short,congruent,n,n,False
607,4482,target,canvas.Screen,12_1_0_24_4,response,1008.0,272145.0,272144.0,272161.0,273152.0,273114.00000000006,2024-09-12T08:27:37.751Z,273127.0,response_manmade,m,torch,CHIMP,Inc_Synth_Nat,short,incongruent,n,n,False
613,4482,target,canvas.Screen,12_1_0_25_4,response,1147.0000000000582,273795.0,273794.0,273811.0,274941.00000000006,274904.0,2024-09-12T08:27:39.541Z,274927.0,response_natural,n,soil,SOIL,Con_Nat,short,congruent,n,n,True
619,4482,target,canvas.Screen,12_1_0_26_4,response,610.0,275595.0,275594.0,275611.0,276204.0,276166.0,2024-09-12T08:27:40.803Z,276194.0,response_natural,n,goose,GOOSE,Con_Nat,short,congruent,n,n,True
625,4482,target,canvas.Screen,12_1_0_27_4,response,709.0,276862.0,276861.0,276877.0,277570.0,277532.0,2024-09-12T08:27:42.169Z,277543.0,response_manmade,m,bread,BREAD,Con_Synth,short,congruent,m,m,True
631,4482,target,canvas.Screen,12_1_0_28_4,response,1100.0,278211.0,278211.0,278227.0,279311.0,279273.0,2024-09-12T08:27:43.910Z,279294.0,response_manmade,m,rope,ROPE,Con_Synth,short,congruent,m,m,True
637,4482,target,canvas.Screen,12_1_0_29_4,response,831.0000000000582,279961.0,279961.0,279977.0,280792.00000000006,280753.0,2024-09-12T08:27:45.390Z,280778.0,response_natural,n,whale,WHALE,Con_Nat,short,congruent,n,n,True
643,4482,target,canvas.Screen,12_1_0_30_4,response,637.0,281445.0,281444.0,281461.0,282081.0,282042.00000000006,2024-09-12T08:27:46.679Z,282061.0,response_manmade,m,mail,MAIL,Con_Synth,short,congruent,m,m,True
649,4482,target,canvas.Screen,12_1_0_31_4,response,947.0,282728.0,282728.0,282744.0,283675.0,283637.0,2024-09-12T08:27:48.274Z,283660.0,response_natural,n,wharf,RAZOR,Inc_Synth_Synth,short,incongruent,m,m,False
655,4482,target,canvas.Screen,12_1_0_32_4,response,632.0,284328.00000000006,284328.0,284344.0,284960.0,284922.0,2024-09-12T08:27:49.558Z,284944.0,response_manmade,m,bike,BIKE,Con_Synth,short,congruent,m,m,True
661,4482,target,canvas.Screen,12_1_0_33_4,response,1147.0,285612.0,285611.0,285628.0,286758.0,286719.0,2024-09-12T08:27:51.356Z,286745.0,response_natural,n,peach,SHED,Inc_Nat_Synth,short,incongruent,m,m,False
667,4482,target,canvas.Screen,12_1_0_34_4,response,894.0,287412.0,287411.0,287428.0,288305.0,288266.0,2024-09-12T08:27:52.903Z,288295.0,response_natural,n,frog,FROG,Con_Nat,short,congruent,n,n,True
673,4482,target,canvas.Screen,12_1_0_35_4,response,788.0,288962.0,288961.0,288978.0,289749.0,289710.0,2024-09-12T08:27:54.347Z,289728.0,response_natural,n,worm,WORM,Con_Nat,short,congruent,n,n,True
679,4482,target,canvas.Screen,12_1_0_36_4,response,1027.0,290395.0,290395.0,290410.0,291422.0,291389.0,2024-09-12T08:27:56.025Z,291410.0,response_manmade,m,sewer,CORAL,Inc_Synth_Nat,short,incongruent,n,n,False
685,4482,target,canvas.Screen,12_1_0_37_4,response,1252.0,292079.0,292078.0,292094.0,293330.0,293291.0,2024-09-12T08:27:57.928Z,293311.0,response_manmade,m,sash,CLOTH,Inc_Synth_Synth,short,incongruent,m,m,True
691,4482,target,canvas.Screen,12_1_0_38_4,response,631.0,293979.0,293978.0,293995.0,294609.0,294572.0,2024-09-12T08:27:59.208Z,294595.0,response_natural,n,deer,DEER,Con_Nat,short,congruent,n,n,True
697,4482,target,canvas.Screen,12_1_0_39_4,response,614.0,295262.0,295261.0,295278.0,295875.0,295836.0,2024-09-12T08:28:00.472Z,295862.0,response_natural,n,tiger,TIGER,Con_Nat,short,congruent,n,n,True
703,4482,target,canvas.Screen,12_1_0_40_4,response,952.0,296529.0,296528.0,296545.0,297480.0,297442.0,2024-09-12T08:28:02.078Z,297461.0,response_manmade,m,camel,BENCH,Inc_Nat_Synth,short,incongruent,m,m,True
709,4482,target,canvas.Screen,12_1_0_41_4,response,1123.0000000000582,298129.0,298128.0,298145.0,299251.00000000006,299213.0,2024-09-12T08:28:03.849Z,299228.0,response_natural,n,daisy,DAISY,Con_Nat,short,congruent,n,n,True
715,4482,target,canvas.Screen,12_1_0_42_4,response,814.0,299896.0,299895.0,299912.0,300709.0,300671.0,2024-09-12T08:28:05.307Z,300695.0,response_manmade,m,finch,SLOTH,Inc_Nat_Nat,short,incongruent,m,m,True
721,4482,target,canvas.Screen,12_1_0_43_4,response,953.0,301362.0,301361.0,301378.0,302314.0,302276.0,2024-09-12T08:28:06.912Z,302295.0,response_manmade,m,tank,TANK,Con_Synth,short,congruent,m,m,True
727,4482,target,canvas.Screen,12_1_0_44_4,response,941.0,302963.0,302962.0,302978.0,303903.0,303864.00000000006,2024-09-12T08:28:08.500Z,303878.0,response_natural,n,grass,GRASS,Con_Nat,short,congruent,n,n,True
733,4482,target,canvas.Screen,12_1_0_45_4,response,1195.0,304546.0,304545.0,304562.0,305740.0,305702.0,2024-09-12T08:28:10.337Z,305728.0,response_natural,n,corn,CORN,Con_Nat,short,congruent,n,n,True
739,4482,target,canvas.Screen,12_1_0_46_4,response,1100.0,306396.0,306395.0,306412.0,307495.0,307456.0,2024-09-12T08:28:12.092Z,307478.0,response_manmade,m,crow,YACHT,Inc_Nat_Synth,short,incongruent,m,m,True
745,4482,target,canvas.Screen,12_1_0_47_4,response,1126.0,308146.0,308145.0,308161.0,309271.0,309232.0,2024-09-12T08:28:13.868Z,309262.0,response_manmade,m,silo,PLAZA,Inc_Synth_Synth,short,incongruent,m,m,True
751,4482,target,canvas.Screen,12_1_0_48_4,response,701.0,309929.00000000006,309928.0,309945.0,310629.0,310591.0,2024-09-12T08:28:15.226Z,310611.0,response_manmade,m,water,MEDAL,Inc_Nat_Synth,short,incongruent,m,m,True
757,4482,target,canvas.Screen,12_1_0_49_4,response,895.0,311279.0,311279.0,311295.0,312174.0,312134.0,2024-09-12T08:28:16.770Z,312145.0,response_manmade,m,poppy,DINGO,Inc_Nat_Nat,short,incongruent,n,n,False
763,4482,target,canvas.Screen,12_1_0_50_4,response,1027.0,312813.0,312812.0,312829.0,313839.0,313801.0,2024-09-12T08:28:18.437Z,313829.0,response_manmade,m,hawk,HAWK,Con_Nat,short,congruent,n,n,False
769,4482,target,canvas.Screen,12_1_0_51_4,response,1423.0,314496.0,314495.0,314512.0,315918.0,315879.0,2024-09-12T08:28:20.515Z,315895.0,response_natural,n,rake,HUSKY,Inc_Synth_Nat,short,incongruent,n,n,True
775,4482,target,canvas.Screen,12_1_0_52_4,response,1606.0,316563.0,316562.0,316579.0,318168.0,318130.0,2024-09-12T08:28:22.765Z,318145.0,response_manmade,m,drug,DRUG,Con_Synth,short,congruent,m,m,True
781,4482,target,canvas.Screen,12_1_0_53_4,response,1061.0,318813.0,318812.0,318828.0,319873.0,319835.0,2024-09-12T08:28:24.470Z,319862.0,response_manmade,m,mice,TOOLS,Inc_Nat_Synth,short,incongruent,m,m,True
787,4482,target,canvas.Screen,12_1_0_54_4,response,1115.0,320530.00000000006,320529.0,320545.0,321644.0,321610.0,2024-09-12T08:28:26.245Z,321629.0,response_manmade,m,doll,DOLL,Con_Synth,short,congruent,m,m,True
793,4482,target,canvas.Screen,12_1_0_55_4,response,1096.0,322297.0,322296.0,322312.0,323392.0,323354.0,2024-09-12T08:28:27.989Z,323379.0,response_natural,n,harp,SNAIL,Inc_Synth_Nat,short,incongruent,n,n,True
799,4482,target,canvas.Screen,12_1_0_56_4,response,744.0,324047.0,324046.0,324063.0,324790.0,324751.00000000006,2024-09-12T08:28:29.386Z,324762.0,response_manmade,m,ladle,CAFÉ,Inc_Synth_Synth,short,incongruent,m,m,True
