Start,End,Time Zone,Duration,Restful Minutes, Restless Minutes, Awake Minutes
2022-03-07 00:34,2022-03-07 05:48,CEST,314,306,8,0
2022-03-05 23:32,2022-03-06 07:55,CEST,503,486,16,1
2022-03-04 23:16,2022-03-05 08:03,CEST,527,504,20,2
2022-03-03 22:30,2022-03-04 06:28,CEST,478,452,17,10
2022-03-02 22:30,2022-03-03 06:38,CEST,488,462,19,8
2022-03-01 23:32,2022-03-02 07:03,CEST,451,423,23,5
2022-02-28 22:30,2022-03-01 06:14,CEST,464,433,24,7
2022-02-27 23:03,2022-02-28 07:00,CEST,476,437,22,18
2022-02-26 23:00,2022-02-27 09:17,CEST,617,566,48,4
2022-02-26 00:17,2022-02-26 09:01,CEST,523,492,29,3
2022-02-24 21:59,2022-02-25 06:34,CEST,515,492,23,0
2022-02-23 23:24,2022-02-24 06:07,CEST,403,380,23,0
2022-02-23 01:00,2022-02-23 07:07,CEST,367,353,15,0
2022-02-22 00:14,2022-02-22 06:29,CEST,375,350,15,10
2022-02-20 23:37,2022-02-21 06:30,CEST,413,403,8,2
2022-02-20 02:00,2022-02-20 08:09,CEST,370,350,14,6
2022-02-19 00:51,2022-02-19 08:50,CEST,479,464,15,0
2022-02-17 23:03,2022-02-18 06:58,CEST,475,460,13,2
2022-02-16 22:30,2022-02-17 06:33,CEST,483,464,19,0
2022-02-16 00:00,2022-02-16 06:49,CEST,409,392,14,2
2022-02-15 00:30,2022-02-15 06:49,CEST,380,358,20,2
2022-02-13 23:03,2022-02-14 07:04,CEST,481,464,16,0
2022-02-13 00:00,2022-02-13 08:28,CEST,508,485,23,0
2022-02-11 22:00,2022-02-12 07:48,CEST,589,570,16,2
2022-02-10 23:30,2022-02-11 06:43,CEST,434,416,14,3
2022-02-08 22:38,2022-02-09 06:18,CEST,459,445,13,1
2022-02-08 00:07,2022-02-08 06:06,CEST,359,348,11,0
2022-02-07 00:07,2022-02-07 06:33,CEST,386,367,17,2
2022-02-05 23:35,2022-02-06 08:02,CEST,507,492,14,2
2022-02-03 23:24,2022-02-04 06:30,CEST,425,414,11,0
2022-02-02 22:30,2022-02-03 06:45,CEST,495,476,19,1
2022-02-01 22:00,2022-02-02 06:39,CEST,520,496,22,1
2022-01-31 23:03,2022-02-01 05:51,CEST,408,397,11,0
2022-01-29 23:53,2022-01-30 08:44,CEST,531,514,15,3
2022-01-29 00:37,2022-01-29 08:02,CEST,445,432,13,0
2022-01-27 23:24,2022-01-28 06:52,CEST,449,435,14,0
2022-01-27 00:30,2022-01-27 06:38,CEST,368,355,10,3
2022-01-25 22:56,2022-01-26 06:15,CEST,439,423,13,3
2022-01-25 00:00,2022-01-25 06:49,CEST,408,393,15,0
2022-01-23 23:42,2022-01-24 06:51,CEST,429,406,11,11
2022-01-22 23:32,2022-01-23 08:10,CEST,518,498,18,2
2022-01-21 23:27,2022-01-22 09:42,CEST,615,584,26,5
2022-01-20 22:44,2022-01-21 06:15,CEST,450,439,12,0
2022-01-19 23:30,2022-01-20 06:28,CEST,418,405,13,0
2022-01-18 23:25,2022-01-19 07:01,CEST,456,441,12,3
2022-01-17 22:30,2022-01-18 05:41,CEST,431,417,14,0
2022-01-16 23:32,2022-01-17 06:49,CEST,437,421,15,1
2022-01-15 22:30,2022-01-16 09:11,CEST,641,612,26,4
2022-01-15 00:27,2022-01-15 08:48,CEST,501,487,12,2
2022-01-13 21:00,2022-01-14 06:27,CEST,568,543,19,6
2022-01-12 23:40,2022-01-13 06:53,CEST,433,415,15,2
2022-01-11 20:59,2022-01-12 06:53,CEST,594,576,16,3
2022-01-10 23:48,2022-01-11 06:57,CEST,429,414,15,0
2022-01-09 23:28,2022-01-10 06:55,CEST,447,426,15,6
2022-01-09 01:00,2022-01-09 10:34,CEST,574,542,23,9
2022-01-07 23:00,2022-01-08 08:30,CEST,570,541,23,6
2022-01-06 22:34,2022-01-07 06:30,CEST,476,460,16,0
2022-01-05 23:00,2022-01-06 06:41,CEST,462,433,29,0
2022-01-03 23:00,2022-01-04 06:37,CEST,457,433,22,2
2022-01-02 22:17,2022-01-03 09:54,CEST,697,671,25,1
2022-01-01 12:30,2022-01-01 14:35,CEST,125,119,6,0
2021-12-30 04:42,2021-12-30 13:02,GMT-4,500,481,16,3
2021-12-29 09:00,2021-12-29 13:04,GMT-4,245,233,12,0
2021-12-28 04:39,2021-12-28 12:54,GMT-4,495,470,21,3
2021-12-27 10:30,2021-12-27 13:25,GMT-4,176,159,17,0
2021-12-26 04:37,2021-12-26 13:51,GMT-4,553,531,22,0
2021-12-25 09:00,2021-12-25 13:07,GMT-4,247,227,20,0
2021-12-24 03:20,2021-12-24 13:43,GMT-4,623,586,31,6
2021-12-23 05:00,2021-12-23 11:28,GMT-4,388,373,15,0
2021-12-22 04:23,2021-12-22 11:51,GMT-4,448,423,25,0
2021-12-21 09:38,2021-12-21 12:39,GMT-4,182,175,7,0
2021-12-20 09:27,2021-12-20 12:01,GMT-4,153,145,9,0
2021-12-18 23:30,2021-12-19 02:35,GMT-4,185,179,6,0
2021-12-18 00:30,2021-12-18 07:57,GMT-4,447,436,11,0
2021-12-17 00:38,2021-12-17 06:00,GMT-4,322,316,6,0
2021-12-15 22:51,2021-12-16 06:50,GMT-4,479,459,19,0
2021-12-14 23:27,2021-12-15 06:35,GMT-4,428,417,10,0
