item;n_trials;err;rt;sd;rtz;n_used;c_freq_movies;lc_freq_movies;c_freq_books;lc_freq_books;n_letters;n_syllables
vétéran;24;0,083333333;690,6190476;129,2209256;-0,137284464;21;1,86;0,269512944;1,28;0,10720997;7;3
vétérans;24;0;792,0416667;178,0413922;0,150589949;24;1,98;0,29666519;1,15;0,06069784;8;3
vétérinaire;25;0;693,84;161,4733415;-0,079475758;25;5,77;0,761175813;4,6;0,662757832;11;4
vêtir;25;0,08;619,8695652;169,8227162;-0,471244406;23;1,55;0,190331698;3,18;0,50242712;5;2
vêtu;25;0;654,12;135,5416049;-0,515950897;25;4,46;0,649334859;30,68;1,486855355;4;2
vêtue;25;0;639,875;155,0765064;-0,518835855;24;1,94;0,28780173;18,24;1,261024834;5;2
vêtues;25;0;677,24;155,4094806;-0,289786769;25;0,33;-0,48148606;5,47;0,737987326;6;2
vêtus;24;0;635,0869565;127,0046216;-0,369848893;23;0,94;-0,026872146;14,05;1,147676324;5;2
vétuste;23;0,260869565;847,7647059;214,9472404;0,481454037;17;0,05;-1,301029996;2,03;0,307496038;7;2
vétustes;25;0,24;832;222,709518;0,893322981;18;0,2;-0,698970004;1,15;0,06069784;8;2
veuf;26;0,038461538;653,28;151,643914;-0,285096888;25;2,47;0,392696953;4,73;0,674861141;4;1
veuille;25;0,08;799,8695652;171,8065255;0,460934338;23;10,13;1,005609445;8,45;0,926856709;7;1
veuillent;25;0,08;700,3913043;211,4133691;0,010057542;23;1,15;0,06069784;1,08;0,033423755;9;1
veuilles;26;0,307692308;837,1111111;266,5760876;0,625159776;18;6,72;0,827369273;1,28;0,10720997;8;1
veuillez;24;0;597,6666667;91,35105086;-0,652488084;24;45,84;1,661244609;8,99;0,953759692;8;2
veulent;24;0,041666667;636,826087;173,2844882;-0,573825487;23;142,38;2,153448989;39,05;1,591621038;7;1
veulerie;25;0,8;932;154,4150252;0,694919509;3;0,21;-0,677780705;2,36;0,372912003;8;2
veut;26;0,076923077;615,8333333;219,3676023;-0,665652521;24;701,19;2,845835714;210,61;2,323478988;4;1
veuvage;24;0,25;858,6111111;291,0892604;0,602322616;18;0,78;-0,107905397;2,5;0,397940009;7;2
veuve;24;0,041666667;618;90,75040696;-0,459250452;23;22,2;1,346352974;32,7;1,514547753;5;1
